row_type,variant_id,eval_tile_id,seed_count,mean_total_contract_reward,std_total_contract_reward,min_total_contract_reward,max_total_contract_reward,train_timesteps,eval_max_steps,claim_boundary
trained_policy,B0,tile_r002_c003,1,-0.6525977819,0.0,-0.6525977819,-0.6525977819,128,4,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B0,tile_r002_c003,1,-0.1721689918,0.0,-0.1721689918,-0.1721689918,128,4,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B0,tile_r002_c003,1,-0.2100023559,0.0,-0.2100023559,-0.2100023559,128,4,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
trained_policy,B1,tile_r002_c003,1,-0.0986410666,0.0,-0.0986410666,-0.0986410666,128,4,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
first_valid,B1,tile_r002_c003,1,-0.1721689918,0.0,-0.1721689918,-0.1721689918,128,4,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
seeded_random,B1,tile_r002_c003,1,0.0773071762,0.0,0.0773071762,0.0773071762,128,4,"Phase 26 is a main empirical analysis package for B0/B1 padded held-out Bishan tile learned-policy results under the deterministic base planning reward; it does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or final submission-level claims."
