eval_tile_id,seed,b0_reward,b1_reward,b1_minus_b0_reward,b1_improves_b0,train_timesteps,eval_max_steps
tile_r002_c003,0,0.9126224923,0.2480888795,-0.6645336128,False,1024,8
tile_r005_c004,0,2.0009680413,-0.4531644902,-2.4541325315,False,1024,8
tile_r005_c003,0,0.55615276,1.33502446,0.7788717,True,1024,8
tile_r002_c003,1,-0.3430190711,-0.2286331138,0.1143859573,True,1024,8
tile_r005_c004,1,0.7569973211,-0.4402662252,-1.1972635463,False,1024,8
tile_r005_c003,1,-0.0684795003,-0.4435205641,-0.3750410638,False,1024,8
tile_r002_c003,2,-0.0748149038,0.8145134417,0.8893283455,True,1024,8
tile_r005_c004,2,-0.6313717233,0.0491965986,0.6805683219,True,1024,8
tile_r005_c003,2,1.5343412789,-0.1339628676,-1.6683041465,False,1024,8
