row_type,variant_id,train_tile_id,eval_tile_id,eval_tile_rank,seed,phase25_seed_rank,train_timesteps,eval_max_steps,max_blocks,train_n_blocks,eval_n_blocks,n_features,observation_shape,action_space_n,episode_steps,terminated,truncated,all_actions_valid,invalid_action_count,total_contract_reward,selected_block_ids,claim_boundary
trained_policy,B0,tile_r003_c003,tile_r002_c003,1,0,1,128,4,2234,2234,2188,17,42451,2234,4,True,False,True,0,-0.6525977819,dltb_822207;dltb_3637561;dltb_820619;dltb_818875,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B0,tile_r003_c003,tile_r002_c003,1,0,1,128,4,2234,2234,2188,17,42451,2234,4,True,False,True,0,-0.1721689918,dltb_1000812;dltb_1497530;dltb_1497532;dltb_1858642,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B0,tile_r003_c003,tile_r002_c003,1,0,1,128,4,2234,2234,2188,17,42451,2234,4,True,False,True,0,-0.2100023559,dltb_820949;dltb_823411;dltb_819614;dltb_821191,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
trained_policy,B1,tile_r003_c003,tile_r002_c003,1,0,1,128,4,2234,2234,2188,81,185427,2234,4,True,False,True,0,-0.0986410666,dltb_821031;dltb_3637320;dltb_819510;dltb_818863,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
first_valid,B1,tile_r003_c003,tile_r002_c003,1,0,1,128,4,2234,2234,2188,81,185427,2234,4,True,False,True,0,-0.1721689918,dltb_1000812;dltb_1497530;dltb_1497532;dltb_1858642,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
seeded_random,B1,tile_r003_c003,tile_r002_c003,1,0,1,128,4,2234,2234,2188,81,185427,2234,4,True,False,True,0,0.0773071762,dltb_5371562;dltb_822583;dltb_822840;dltb_821759,"Phase 25 is a bounded padded variable-size held-out-tile B0/B1 MaskablePPO learned-policy pilot under the deterministic base planning reward; it tests distinct Bishan tiles, does not enable suitability reward, does not test B2/B3, and does not support cross-region transfer or submission-level planning-performance claims."
